"Accepted Symbol","Synonym Symbol","Scientific Name","Cultivar Name"
"ABELI","","Abelia",""
"ABGR4","","Abelia ×grandiflora","Edward Goucher"
"ABELM","","Abelmoschus",""
"ABES","","Abelmoschus esculentus",""
"ABMA9","","Abelmoschus manihot",""
"ABMO","","Abelmoschus moschatus",""
"ABIES","","Abies",""
"ABAL3","","Abies alba",""
"ABAM","","Abies amabilis",""
"ABBA","","Abies balsamea",""
"ABBAB","","Abies balsamea var. balsamea",""
"ABBAP","","Abies balsamea var. phanerolepis",""
"ABBR","","Abies bracteata",""
"ABCO","","Abies concolor",""
"ABFI","","Abies firma",""
"ABFR","","Abies fraseri",""
"ABGR","","Abies grandis",""
"ABGU","","Abies guatemalensis",""
"ABHO","","Abies homolepis",""
"ABLA","","Abies lasiocarpa",""
"ABLAA","","Abies lasiocarpa var. arizonica",""
"ABLAL","","Abies lasiocarpa var. lasiocarpa",""
"ABLO","","Abies lowiana",""
"ABMA","","Abies magnifica",""
"ABMAM","","Abies magnifica var. magnifica",""
"ABMAS","","Abies magnifica var. shastensis",""
"ABPR","","Abies procera",""
"ABVE2","","Abies veitchii",""
"ABIET","","Abietinella",""
"ABAB70","","Abietinella abietina",""
"ABILD","","Abildgaardia",""
"ABOV","","Abildgaardia ovata",""
"ABROM","","Abroma",""
"ABAU3","","Abroma augustum",""
"ABRON","","Abronia",""
"ABAL","","Abronia alpina",""
"ABAM2","","Abronia ameliae",""
"ABAM3","","Abronia ammophila",""
"ABAN","","Abronia angustifolia",""
"ABAR","","Abronia argillosa",""
"ABBI","","Abronia bigelovii",""
"ABBO","","Abronia bolackii",""
"ABCA","","Abronia carletonii",""
"ABEL","","Abronia elliptica",""
"ABFR2","","Abronia fragrans",""
"ABGR2","","Abronia gracilis",""
"ABIN2","","Abronia insularis",""
"ABLA2","","Abronia latifolia",""
"ABMA5","","Abronia macrocarpa",""
"ABMA2","","Abronia maritima",""
"ABME","","Abronia mellifera",""
"ABMI2","","Abronia minor",""
"ABNA","","Abronia nana",""
"ABNAC","","Abronia nana var. covillei",""
"ABNAH","","Abronia nana var. harrisii",""
"ABNAN","","Abronia nana var. nana",""
"ABNE","","Abronia neurophylla",""
"ABPO","","Abronia pogonantha",""
"ABTU","","Abronia turbinata",""
"ABUM","","Abronia umbellata",""
"ABUMB","","Abronia umbellata ssp. breviflora",""
"ABUMU","","Abronia umbellata ssp. umbellata",""
"ABVI","","Abronia villosa",""
"ABVIA","","Abronia villosa var. aurita",""
"ABVIV","","Abronia villosa var. villosa",""
"ABROT","","Abrothallus",""
"ABBE2","","Abrothallus bertianus",""
"ABBR3","","Abrothallus bryoriarum",""
"ABCE","","Abrothallus cetrariae",""
"ABCL","","Abrothallus cladoniae",""
"ABPA5","","Abrothallus parmeliarum",""
"ABPE2","","Abrothallus peyritschii",""
"ABPR5","","Abrothallus prodiens",""
"ABWE","","Abrothallus welwitschii",""
"ABRUS","","Abrus",""
"ABPR3","","Abrus precatorius",""
"ABSCO","","Absconditella",""
"ABSP","","Absconditella sphagnorum",""
"ABTR3","","Absconditella trivialis",""
"ABUTI","","Abutilon",""
"ABAB","","Abutilon abutiloides",""
"ABAU","","Abutilon auritum",""
"ABBE","","Abutilon berlandieri",""
"ABER","","Abutilon eremitopetalum",""
"ABFR3","","Abutilon fruticosum",""
"ABGL","","Abutilon glabriflorum",""
"ABGR3","","Abutilon grandifolium",""
"ABHI","","Abutilon hirtum",""
"ABHU","","Abutilon hulseanum",""
"ABHY","","Abutilon hypoleucum",""
"ABIN","","Abutilon incanum",""
"ABIN3","","Abutilon indicum",""
"ABINA","","Abutilon indicum ssp. albescens",""
"ABMA3","","Abutilon malacum",""
"ABMA8","","Abutilon mauritianum",""
"ABME3","","Abutilon megapotamicum",""
"ABME2","","Abutilon menziesii",""
"ABMO2","","Abutilon mollicomum",""
"ABPA","","Abutilon palmeri",""
"ABPA2","","Abutilon parishii",""
"ABPA3","","Abutilon parvulum",""
"ABPE","","Abutilon permolle",""
"ABRE","","Abutilon reventum",""
"ABSA2","","Abutilon sandwicense",""
"ABTH","","Abutilon theophrasti",""
"ABTH2","","Abutilon thurberi",""
"ABTR","","Abutilon trisulcatum",""
"ABWR","","Abutilon wrightii",""
"ACACI","","Acacia",""
"ACEM","","Acacia ×emoryana",""
"ACAB2","","Acacia abyssinica",""
"ACABC2","","Acacia abyssinica ssp. calophylla",""
"ACAC7","","Acacia acinacea",""
"ACAC8","","Acacia aciphylla",""
"ACAC9","","Acacia aculeatissima",""
"ACAC10","","Acacia acuminata",""
"ACAD","","Acacia adunca",""
"ACAL16","","Acacia alata",""
"ACAM9","","Acacia ampliceps",""
"ACAN4","","Acacia anegadensis",""
"ACAN10","","Acacia aneura",""
"ACAN","","Acacia angustissima",""
"ACANC","","Acacia angustissima var. chisosiana",""
"ACANH","","Acacia angustissima var. hirta",""
"ACANL","","Acacia angustissima var. leucothrix",""
"ACANS","","Acacia angustissima var. shrevei",""
"ACANS2","","Acacia angustissima var. suffrutescens",""
"ACAR12","","Acacia arenaria",""
"ACAU","","Acacia auriculiformis",""
"ACBA","","Acacia baileyana",""
"ACBE6","","Acacia beckleri",""
"ACBE","","Acacia berlandieri",""
"ACBI5","","Acacia binervata",""
"ACBO4","","Acacia boomanii",""
"ACBR3","","Acacia brachybotrya",""
"ACBU3","","Acacia buxifolia",""
"ACCA23","","Acacia caesiella",""
"ACCA24","","Acacia calamifolia",""
"ACCA25","","Acacia cambagei",""
"ACCA27","","Acacia cardiophylla",""
"ACCA21","","Acacia catechu",""
"ACCA35","","Acacia caven",""
